Family;Genus;Species;Fruit type;Fruit length (mm);Fruit diameter (mm);Fruit weight (g);Mean number of seeds per fruit;Seed length (mm);Seed diameter (mm);Seed weight (g);Wood  density g/cm³;Tree size max;Diameter breast height (cm);Megafauna Fruit ;Mean Dispersal Distance (m);Max Dispersal Distance (m);Lat;Long;Biome;Country;Agouti species;Study focus;Methods for asseing dispersal;Seed monioring time;Predation;Dispersal;Burial;Germination;Frugivory;Year;Citation;Full citation
Myrtaceae;Eugenia;Eugenia supraaxillaris;;41;36;35;1;28;28;16;;;;Yes;;;24° 16' S;48° 25' W;Atlantic Forest;Brazil;Dasyprocta leporina;Plant community;;;;;;;;2011;Galetti et al. (2011);Galetti, M., Pizo, M. A., & Morellato, L. P. C. (2011). Diversity of functional traits of fleshy fruits in a species-rich Atlantic rain forest. Biota Neotropica, 11(1), 181-193.
Arecaceae;Astrocaryum;Astrocaryum aculeatissimum;Drupe;48;32;28,7;1;42,7;28,8;17,36;;8;;Yes;5,9;;23° 15' S;44° 54' W;Atlantic Forest;Brazil;Dasyprocta leporina;Plant;Spool and line;;x;x;x;x;;2009;Donatti et al., 2009;"Donatti, C.I.; Guimarães Jr., P.R.; Galetti, M. 2009. Seed dispersal and predation in the endemic Atlantic rainforest palm Astrocaryum aculeatissimum across a gradient of seed disperser abundance. Ecological Research 24(6), pp. 1187-1195."
Arecaceae;Astrocaryum;Astrocaryum mexicanum;;35;18;;;;;17,4;;6;8;;;;;;;Mexico;Dasyprocta punctata;Plant;;;;;;;;1997;Martinez-Ramos 1997;Martinez-Ramos, M. I. G. U. E. L. (1997). Astrocaryum mexicanum. Historia Natural de Los Tuxtlas. Universidad Nacional Autonoma de Mexico, San Antonio, 92-96.
Meliaceae;Carapa;Carapa guianensis;Nut;170;170;;8;50;50;18,1;0,56;55;95;No;4;13;10° 26' N;84° 00' W;;Costa Rica;Dasyprocta punctata;Plant;Active search / Visual observation;;x;x;;x;;1983;"McHargue; Hartshorn, 1983";"McHargue, L.A.; Hartshorn, G.S. 1983. Seed and seedling ecology of Carapa guianensis. Turrialba 33(4), pp. 399-404."
Meliaceae;Carapa;Carapa guianensis;Nut;170;170;;8;50;50;18,1;0,56;55;95;No;;;;;;;Dasyprocta sp.;;;;x;x;;;;2017;Rosin (2017);Rosin, C. (2017). Plant-animal interactions and defaunation in tropical forests: how animal communities and anthropogenic disturbances drive patterns in seed predation, seedling damage, and the regeneration of tropical forest trees (Doctoral dissertation, Duke University).
Meliaceae;Carapa;Carapa procera;capsule;;;;;34,5;;18,4;0,59;70;60;;;;5° 18' N;52° 53' W;;French Guyana;Dasyprocta leporina;Rodents/Plant;Line;;x;x;x;x;;1996;Forget, 1996;Forget, P.-M. 1996. Removal of seeds of Carapa procera (Meliaceae) by rodents and their fate in rainforest in French Guiana. Journal of Tropical Ecology 12(6), pp. 751-761.
Meliaceae;Carapa;Carapa procera;capsule;;;;;34,5;;18,4;0,59;70;60;;;;5° 18' N;52° 53' W;Amazon;French Guyana;Dasyprocta leporina;Plant;;;;x (83%);;;;2007;"Forget; Jansen, 2007";"Forget, P.M.; Jansen, P.A. 2007. Hunting increases dispersal limitation in the tree Carapa procera, a nontimber forest product. Conservation Biology 21(1), pp. 106-113."
Meliaceae;Carapa;Carapa procera;capsule;;;;;34,5;;18,4;0,59;70;60;;;;4° 02' N;52° 42' W;floresta tropical de várzea;French Guyana;Dasyprocta leporina;Rodents/Plant;;;x;x;x (6%);;;2004;Jansen et al., 2004;"Jansen, P.A.; Bongers, F.; Hemerik, L. 2004. Seed mass and mast seeding enhance dispersal by a neotropical scatter-hoarding rodent. Ecological Monographs, 74(4), pp. 569-589."
Arecaceae;Syagrus;Syagrus pseudococos;Drupe;65;40;33,3;;15;15;19,09;;15;;Yes;;;23° 27' S;45° 02' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Line/Visual observation;;x;x;x;;;2010;Galetti et al., 2010;"Galetti, M.; Donatti, C.I.; Steffler, C.; Genini, J.; Bovendorp, R.S.; Fleury, M. 2010. The role of seed mass on the caching decision by agoutis, Dasyprocta leporina (Rodentia: Agoutidae). Zoologia 27(3), pp. 472-476."
Arecaceae;Syagrus;Syagrus pseudococos;Drupe;65;40;33,3;;15;15;19,09;;15;;Yes;;;23° 31' S;45° 02' W;Atlantic Forest;Brazil;Dasyprocta leporina;;;;x;x;;;;2009;Genin et al., 2009;"Genini, Julieta; Galetti, Mauro; Morellato, L. Patricia C. 2009 Fruiting Phenology of Palms and Trees in An Atlantic Rainforest Land-bridge Island Flora"
