Family;Genus;Species;Taxonomic.status;UpdatedFamily;Checked_Genus;Checked_Epithet;UpdatedPlantSpecies;Fruit type;Fruit length (mm);Fruit diameter (mm);Fruit weight (g);Mean number of seeds per fruit;Seed length (mm);Seed diameter (mm);Seed weight (g);Wood  density g/cm³;Wood density level;Tree size max;Diameter breast height (cm);Megafauna Fruit ;Mean Dispersal Distance (m);Max Dispersal Distance (m);Lat;Long;Biome;Country;Agouti species;Study focus;Methods for asseing dispersal;Seed monitoring time;Predation;Dispersal;Burial;Germination;Frugivory;Year;Citation;Full citation
Arecaceae;Welfia;Welfia regia;Accepted;Arecaceae;Welfia;regia;Welfia regia;;34,7;15,4;;;24;13;2,7;0,4;Species;20;20;;;;10° 26' N;84° 00' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;;;6 months;;;;;;2000;Guariguata et al., 2000;"Guariguata, M.R.; Adame, J.J.R.; Finegan, B. 2000. Seed removal and fate in two selectively logged lowland forests with constrasting protection levels. Conservation Biology 14(4), pp. 1046-1054."
Arecaceae;Welfia;Welfia regia;Accepted;Arecaceae;Welfia;regia;Welfia regia;;34,7;15,4;;;24;13;2,7;0,4;Species;20;20;;;;10° 26' N;84° 00' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Plant;;;x;x;;;;1979;Vandermeer & Risch, 1979;Vandermeer & Risch, 1979 Seed dispersal of a common Costa Rican rain forest palm (Welfia georgii). Trop. Ecol
Lauraceae;Ocotea;Ocotea floribunda;Accepted;Lauraceae;Ocotea;floribunda;Ocotea floribunda;;;;;;;;1,6;0,4;Species;27;;;;;10° 18' N;84° 48' W;;Costa Rica;Dasyprocta punctata;;;;x;x;x;;;2015;Beltran (2015);Beltrán, L. C. (2015). Post-dispersal seed fate of Ocotea floribunda (Lauraceae) in Monteverde, Costa Rica.
Malvaceae;Sterculia;Sterculia apetala;Accepted;Malvaceae;Sterculia;apetala;Sterculia apetala;;;;;;;;1,56;0,4;Species;40;;;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
;Pachira;Pachira aquatica;Accepted;Malvaceae;Pachira;aquatica;Pachira aquatica;;;;;;;;0,73;0,39;Species;25;;;;;1° 59' N;59° 43' W;Amazon;Guyana;Dasyprocta leporina;Plants;;;;;;;;2018;Cummings et al., 2018;Cummings, A. R., Read, J. M., & Fragoso, J. M. (2018). Implications of forest type and land tenure diversity for the sustainability of ecosystem services provided by northern Amazonia’s multiple-use tree species. Landscape ecology, 33(3), 423-438.
Fabaceae;Enterolobium;Enterolobium contortisiliquum;Accepted;Leguminosae;Enterolobium;contortisiliquum;Enterolobium contortisiliquum;;;;;;;;0,65;0,39;Species;20;;No;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Moraceae;Ficus;Ficus gomelleira;Accepted;Moraceae;Ficus;gomelleira;Ficus gomelleira;;;;;;;;0,01;0,39;Species;40;;No;;;19° 34' S;56° 14' W;Pantanal;Brazil;Dasyprocta azarae;Interaction;;;;;;;;2011;Donatti et al. (2011);Donatti, C. I., Guimarães, P. R., Galetti, M., Pizo, M. A., Marquitti, F. M., & Dirzo, R. (2011). Analysis of a hyper?diverse seed dispersal network: modularity and underlying mechanisms. Ecology letters, 14(8), 773-781.
Myristicaceae;Otoba;Otoba novogranatensis;Accepted;Myristicaceae;Otoba;novogranatensis;Otoba novogranatensis;;;;;;;23;4,6;0,35;Species;;;;;;8° 47' N;82° 57' W;;Costa Rica;Dasyprocta punctata;;;;x;x;x;x;;2009;Cole (2009);Cole, R. J. (2009). Postdispersal seed fate of tropical montane trees in an agricultural landscape, southern Costa Rica. Biotropica, 41(3), 319-327.
Staphyleaceae;Turpinia;Turpinia occidentalis;Accepted;Staphyleaceae;Turpinia;occidentalis;Turpinia occidentalis;;;;;;21;21;0,04;0,34;Species;28;50;;;;15° 25' N;61° 20' W;;Dominica;Dasyprocta leporina;Agouti;Exclosure;;;;;;;2014;Taylor et al., 2014;"Taylor, B.; Ickes, K.; DeWalt, S.J. 2014. Seed removal by an introduced scatter-hoarder on a Caribbean island. Caribbean Journal of Science, 48(1):9-17."
Arecaceae;Attalea;Attalea butyracea;Accepted;Arecaceae;Attalea;butyracea;Attalea butyracea;Drupe;60;50;;2;35;30;9,23;0,325;Species;20;;Yes;;;9° 10' N;79° 51' W;Humid Tropical Forest s;Panama;Dasyprocta punctata;Agouti;;11 meses;x;x;;;;2008;Aliaga-Rossel et al., 2008;"Aliaga-Rossel, E.; Kays, R.W.; Fragoso, J.M.V. 2008. Home-range use by the Central American agouti (Dasyprocta punctata) on Barro Colorado Island, Panama. Journal of Tropical Ecology 24(4), pp. 367-374."
Arecaceae;Attalea;Attalea butyracea;Accepted;Arecaceae;Attalea;butyracea;Attalea butyracea;Drupe;60;50;;2;35;30;9,23;0,325;Species;20;;Yes;;;9° 10' N;79° 51' W;Lowland Rain Forest;Panama;Dasyprocta punctata;;;;x;x;;;;1994;Forget et al., 1998;Forget, P.-M., Milleron, T. & Feer, F. 1998. Patterns in postdispersal seed removal by Neotropical rodents and seed fate in relation with seed size. In: Newbery, D.M., Prins, H.H.T. & Brown, N.D. (eds.) Dynamics of tropical communities, Symposium No. 37 of the British Ecological Society. Blackwell Science, Oxford.
Arecaceae;Attalea;Attalea butyracea;Accepted;Arecaceae;Attalea;butyracea;Attalea butyracea;Drupe;60;50;13;2;35;30;9,23;0,325;Species;20;;Yes;;;9° 01' N;79° 37' W;Humid Tropical Forest;Panama;Dasyprocta punctata;;;;;;;;;2011;Galvez Dumas, 2011;Galvez, Dumas 2011 Digestibility of Palm Seeds and Bruchids Larvae by Neotropical Rodents Animal Biology
Arecaceae;Attalea;Attalea butyracea;Accepted;Arecaceae;Attalea;butyracea;Attalea butyracea;Drupe;60;50;13;2;35;30;9,23;0,325;Species;20;;Yes;;;9° 06' N;79° 40' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Rodents/Plant;Active search;116 dias;;;;;;2007;"Gálvez; Jansen, 2007";"Gálvez, D.; Jansen, P.A. 2007. Bruchid beetle infestation and the value of Attalea butyracea endocarps for neotropical rodents. Journal of Tropical Ecology 23(3), pp. 381-384."
Arecaceae;Attalea;Attalea butyracea;Accepted;Arecaceae;Attalea;butyracea;Attalea butyracea;Drupe;60;50;13;2;35;30;9,23;0,325;Species;20;;Yes;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Plant / Animals;;;;;;;;2015;Garzon-Lopes et al., 2016;"Garzon-Lopez, Carol X.; Ballesteros-Mejia, Liliana; Ordonez, Alejandro; Bohlman, Stephanie A.; Olff, Han; Jansen, Patrick A. 2015 Indirect Interactions Among Tropical Tree Species Through Shared Rodent Seed Predators: A Novel Mechanism of Tree Species Coexistence Ecology Letters"
Arecaceae;Attalea;Attalea butyracea;Accepted;Arecaceae;Attalea;butyracea;Attalea butyracea;Drupe;60;50;;2;35;30;9,23;0,325;Species;20;;Yes;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Rodents/Plant;Flagged line;;x;x;x;x;;2014;Jansen et al., 2014;"Jansen, P.A.;  Visser, M.D.; Wright, S.J.; Rutten, G.;  Muller?Landau, H.C. 2014. Negative density dependence of seed dispersal and seedling recruitment in a Neotropical palm. Ecology Letters 17(9), pp. 1111-1120."
Arecaceae;Attalea;Attalea butyracea;Accepted;Arecaceae;Attalea;butyracea;Attalea butyracea;Drupe;60;50;;2;35;30;9,23;0,325;Species;20;;Yes;;;9° 10' N;79° 51' W;Lowland Rain Forest;Panama;Dasyprocta punctata;Hunt;;;x;x;;;;2000;Wright et al., 2000;"Wright, S.J.; Zeballos, H.; Domínguez, I.; Gallardo, M.M.; Moreno, M.C.; Ibáñez, R. 2000. Poachers alter mammal abundance, seed dispersal, and seed predation in a Neotropical Forest. Conservation Biology 14(1), pp. 227-239."
Arecaceae;Attalea;Attalea butyracea;Accepted;Arecaceae;Attalea;butyracea;Attalea butyracea;Drupe;60;50;;2;35;30;9,23;0,325;Species;20;;Yes;;;9° 10' N;79° 51' W;Lowland Rain Forest;Panama;Dasyprocta punctata;Hunt/Plant;;;x;x;;x;;2001;"Wright; Duber, 2001";"Wright, S.J.; Duber, H.C. 2001. Poachers and forest fragmentation alter seed dispersal, seed survival, and seedling recruitment in the palm Attalea butyraceae, with implications for tropical tree diversity. Biotropica 33(4), pp. 583-595."
Arecaceae;Iriartea;Iriartea deltoidea;Accepted;Arecaceae;Iriartea;deltoidea;Iriartea deltoidea;;23,5;25;;;28;28;3,31;0,31;Species;25;;;6,5;22;10° 26' N;84° 00' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Rodents/Plant;Flagged line;3 anos;x;x (1%);x;;;2013;Kuprewicz, 2013;Kuprewicz, E.K. 2013. Mammal abundances and seed traits control the seed dispersal and predation roles of terrestrial mammals in a Costa Rican forest. Biotropica 45(3), pp. 333-342.
Arecaceae;Iriartea;Iriartea deltoidea;Accepted;Arecaceae;Iriartea;deltoidea;Iriartea deltoidea;;23,5;25;;;28;28;3,31;0,31;Species;25;;;;;10° 26' N;84° 00' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Agouti;;3 anos;x;x;x;x;;2015;Kuprewicz, 2015;Kuprewicz, E.K. 2015. Scatter hoarding of seeds confers survival advantages and disadvantages to large-seeded tropical plants at different life stages. PLoS ONE 10(5), e0124932.
Arecaceae;Socratea;Socratea exorrhiza;Accepted;Arecaceae;Socratea;exorrhiza;Socratea exorrhiza;;30;17,5;;;35;20;3,6;0,26;Species;30;18;;2;2;10° 26' N;84° 00' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Rodents/Plant;Flagged line;3 anos;x;x (0,4%);x;;;2013;Kuprewicz, 2013;Kuprewicz, E.K. 2013. Mammal abundances and seed traits control the seed dispersal and predation roles of terrestrial mammals in a Costa Rican forest. Biotropica 45(3), pp. 333-342.
Arecaceae;Socratea;Socratea exorrhiza;Accepted;Arecaceae;Socratea;exorrhiza;Socratea exorrhiza;;30;17,5;;;35;20;3,6;0,26;Species;30;18;;;;10° 26' N;84° 00' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Agouti;Remoção da polpa/Armazenamento artificial/exposição de frutos para invertebrados (malha)/plantio de sementes com e sem infestação de insetos (teste de germinação);3 anos;x;x;x;x;;2015;Kuprewicz, 2015;Kuprewicz, E.K. 2015. Scatter hoarding of seeds confers survival advantages and disadvantages to large-seeded tropical plants at different life stages. PLoS ONE 10(5), e0124932.
Arecaceae;Socratea;Socratea exorrhiza;Accepted;Arecaceae;Socratea;exorrhiza;Socratea exorrhiza;;30;17,5;;;35;20;3,6;0,26;Species;30;18;;;;10° 26' N;84° 00' W;;Costa Rica;Dasyprocta punctata;Interaction;;;;;;;;2005;Notman & Villegas (2005);Notman,E.M.& Villegas,A.C.(2005). Patterns of seed predation by vertebrate versus invertebrate seed predators among different plant species, seasons and spatial distributions. In Seed Fate: Predation, Dispersal and Seedling Establishment (eds P. M. Forget,J.E. Lambert,P.E. Hulme andS.B. VanderWall), pp. 55–75. CABI Publishing, Wallingford.
Arecaceae;Euterpe;Euterpe edulis;Accepted;Arecaceae;Euterpe;edulis;Euterpe edulis;;12;12,46;;1;13;10;0,98;0,23;Species;20;15;No;;;23° 27' S;45° 02' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Line / Visual observation;;x;N;;;;2010;Galetti et al., 2010;"Galetti, M.; Donatti, C.I.; Steffler, C.; Genini, J.; Bovendorp, R.S.; Fleury, M. 2010. The role of seed mass on the caching decision by agoutis, Dasyprocta leporina (Rodentia: Agoutidae). Zoologia 27(3), pp. 472-476."
Arecaceae;Euterpe;Euterpe edulis;Accepted;Arecaceae;Euterpe;edulis;Euterpe edulis;;12;12,46;;1;13;10;0,98;0,23;Species;20;15;No;;;23° 31' S;45° 02' W;Atlantic Forest;Brazil;Dasyprocta leporina;;;;x;;;;;2009;Genin et al., 2009;"Genini, Julieta; Galetti, Mauro; Morellato, L. Patricia C. 2009 Fruiting Phenology of Palms and Trees in An Atlantic Rainforest Land-bridge Island Flora"
Arecaceae;Euterpe;Euterpe edulis;Accepted;Arecaceae;Euterpe;edulis;Euterpe edulis;;12;12,46;;1;13;10;0,98;0,23;Species;20;15;No;;;27° 02' S;49° 27' W;Atlantic Forest;Brazil;Dasyprocta azarae;Plant;;;x;;;;;2019;Silva & Reis 2019;SILVA, J. Z., & REIS, M. S. (2019). Consumption of Euterpe edulis fruit by wildlife: implications for conservation and management of the Southern Brazilian Atlantic Forest. Anais da Academia Brasileira de Ciências, 91(1).
Arecaceae;Euterpe;Euterpe edulis;Accepted;Arecaceae;Euterpe;edulis;Euterpe edulis;;12,8;12,46;;1;10,7;10;0,98;0,23;Species;20;15;No;;;22° 55' S;43° 11' W;Atlantic Forest;Brazil;Dasyprocta leporina;Agouti;Visual observation;;;;;;;2014;Cid et al., 2014;"Cid, B.; Figueira, L.; Mello, A.F.T.; Pires, A.S.; Fernandez, F.A.S. 2014. Short-term success in the reintroduction of the red-humped agouti Dasyprocta leporina, an important seed disperser, in a Brazilian Atlantic Forest reserve. Tropical Conservation Science 7(4), pp. 796-810."
Fabaceae;Swartzia;Swartzia flaemingii;Accepted;Leguminosae;Swartzia;flaemingii;Swartzia flaemingii;;;;;1;67;35;29;;;20;;;;;24° 16' S;48° 25' W;Atlantic Forest;Brazil;Dasyprocta leporina;Plant community;;;;;;;;2011;Galetti et al. (2011);Galetti, M., Pizo, M. A., & Morellato, L. P. C. (2011). Diversity of functional traits of fleshy fruits in a species-rich Atlantic rain forest. Biota Neotropica, 11(1), 181-193.
Arecaceae;Astrocaryum;Astrocaryum alatum;Accepted;Arecaceae;Astrocaryum;alatum;Astrocaryum alatum;;70;50;;;60;40;25,1;;;7;17;Yes;4,1;24;10° 26' N;84° 00' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Rodents/Plant;Flagged line;3 anos;x;x (7%);x;;;2013;Kuprewicz, 2013;Kuprewicz, E.K. 2013. Mammal abundances and seed traits control the seed dispersal and predation roles of terrestrial mammals in a Costa Rican forest. Biotropica 45(3), pp. 333-342.
Arecaceae;Astrocaryum;Astrocaryum alatum;Accepted;Arecaceae;Astrocaryum;alatum;Astrocaryum alatum;;70;50;;;60;40;25,1;;;7;17;Yes;3,6;22;10° 26' N;84° 00' W;Humid Tropical Forest;Costa Rica;Dasyprocta punctata;Agouti;Flagged line;3 anos;x;x;x;x;;2015;Kuprewicz, 2015;Kuprewicz, E.K. 2015. Scatter hoarding of seeds confers survival advantages and disadvantages to large-seeded tropical plants at different life stages. PLoS ONE 10(5), e0124932.
Fabaceae;Entada;Entada gigas;Accepted;Leguminosae;Entada;gigas;Entada gigas;;;;;;60;60;14,33;;;;;;;;9° 10' N;79° 51' W;Humid Tropical Forest;Panama;Dasyprocta punctata;Rodents/Plant;Exclosure / Line;6 meses;x;x;;;;1993;Forget, 1993;Forget, P.-M. 1993. Post-dispersal predation and scatterhoarding of Dipteryx panamensis (Papilionaceae) seeds by rodents in Panama. Oecologia 94(2), pp. 255-261.
Arecaceae;Attalea;Attalea phalerata;Accepted;Arecaceae;Attalea;phalerata;Attalea phalerata;Drupe;85;77;36,4;2,5;50;25,6;15,3;;;7;;Yes;;;12° 15' S;71° 45' W;;Peru;Dasyprocta variegata;;;;;;;;;2012;Choo et al., 2012;"Choo, J.; Juenger, T. E.; Simpson, B. B. 2012 Consequences of Frugivore-mediated Seed Dispersal for  the Spatial and Genetic Structures of A Neotropical Palm Molecular Ecology"
Arecaceae;Attalea;Attalea phalerata;Accepted;Arecaceae;Attalea;phalerata;Attalea phalerata;Drupe;85;77;36,4;2,5;50;25,6;15,3;;;7;;Yes;;;18° 59' S;56° 39' W;Pantanal;Brazil;Dasyprocta azarae;Agouti/Plant;;3 meses;x;x;;;x;2013;Cid et al., 2013;"Cid, B.; Oliveira-Santos, L.G.R.; Mourão, G. 2013. Seasonal habitat use of agoutis (Dasyprocta Azarae) is driven by the palm attalea phalerata in Brazilian Pantanal. Biotropica 45(3), pp. 380-385."
Arecaceae;Attalea;Attalea phalerata;Accepted;Arecaceae;Attalea;phalerata;Attalea phalerata;Drupe;85;77;36,4;2,5;50;25,6;15,3;;;7;;Yes;5,8;20,5;19° 14' S;57° 01' W;Pantanal;Brazil;Dasyprocta azarae;Agouti/Plant;Flagged line;;x;x;x;;;2004;de Arruda Nascimento, 2004;de Arruda Nascimento, V. L., de Souza, L. L., Ferreira, J. A., Tomas, W. M., Borges, P. A. L., Desbiez, A., ... & Unido, R. Utilização de frutos de acuri (Attalea phalerata Mart. ex Spreng) por cutias (Dasyprocta azarae) no Pantanal da Nhecolândia.
Arecaceae;Attalea;Attalea phalerata;Accepted;Arecaceae;Attalea;phalerata;Attalea phalerata;Drupe;85;77;36,4;2,5;50;25,6;15,3;;;7;;Yes;;;14° 30' S;66° 00' W;;Bolivia;Dasyprocta punctata;;;;;;;;;2001;Quiroga-Castro & Roldan, 2001;"Quiroga-Castro, V. D.; Roldan, A. I. 2001 The Fate of Attalea Phalerata (palmae) Seeds Dispersed To A Tapir Latrine Biotropica"
Arecaceae;Aphandra;Aphandra natalia;Accepted;Arecaceae;Aphandra;natalia;Aphandra natalia;;47,5;32;;;50;35;;;;14;;;;;3° 45' S;76° 25' W;Amazon;Peru;Dasyprocta fuliginosa;;;;;;;;;2005;Boll et al. (2005);Boll, T., Svenning, J. C., Vormisto, J., Normand, S., Grández, C., & Balslev, H. (2005). Spatial distribution and environmental preferences of the piassaba palm Aphandra natalia (Arecaceae) along the Pastaza and Urituyacu rivers in Peru. Forest Ecology and Management, 213(1-3), 175-183.
Arecaceae;Attalea;Attalea oleifera;Accepted;Arecaceae;Attalea;oleifera;Attalea oleifera;Drupe;67;37;36,5;;45;31;4,5;;;30;;Yes;5;8;9° 00' S;35° 52' W;Atlantic Forest;Brazil;Dasyprocta prymnolopha;Plant;Active search / Visual observation;6 meses;x;x;x (74,7% das mudas eram de ent.);x;x;2004;"Pimentel; Tabarelli, 2004";"Pimentel, D.S.; Tabarelli, M. 2004. Seed dispersal of the palm Attalea oleifera in a remnant of the Brazilian Atlantic Forest. Biotropica 36(1), pp. 74-84."
