Species.Original.Name;TaxonomicStatus;UpdatedPlantFamily;UpdatedPlantGenus;UpdatedPlantEphitet;UpdatedPlantSpecies;Frugivore.Genus;Frugivore.Species;Seed.width.mm.;Wood.density.g.cm3;Wood.density.level;Seed.weigh.g;Tree.size.max.m;nwd;nsw;nts;Full.Citation
Paspalum humboldtianum;Accepted;Poaceae;Paspalum;humboldtianum;Paspalum humboldtianum;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Chalukian, S. C., de BUSTOS, M. S., & LIZÁRRAGA, R. L. (2013). Diet of lowland tapir (Tapirus terrestris) in El Rey National Park, Salta, Argentina. Integrative Zoology, 8(1), 48-56.
Passiflora sp. 2;Genus-level;Passifloraceae;Passiflora;sp.;Passiflora sp.;Brachyteles;Brachyteles arachnoides;1;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Passiflora sp. 3;Genus-level;Passifloraceae;Passiflora;sp.;Passiflora sp.;Brachyteles;Brachyteles arachnoides;NA;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Passiflora sp. 1;Genus-level;Passifloraceae;Passiflora;sp.;Passiflora sp.;Tapirus;Tapirus terrestris;1;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Paullinia capreolata;Accepted;Sapindaceae;Paullinia;capreolata;Paullinia capreolata;Ateles;Ateles paniscus;NA;NA;;NA;NA;NA;NA;NA;Simmen, B., & Sabatier, D. (1996).Â Diets of some French guian primates: Food composition and food choices. Intertiol Jourl of Primatology, 17(5), 661â€“693.Â doi:10.1007/bf02735260Â 
Paullinia carpopoda;Accepted;Sapindaceae;Paullinia;carpopoda;Paullinia carpopoda;Brachyteles;Brachyteles arachnoides;NA;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Paullinia carpopoda;Accepted;Sapindaceae;Paullinia;carpopoda;Paullinia carpopoda;Brachyteles;Brachyteles arachnoides;NA;NA;;NA;NA;NA;NA;NA;Bello, C., Galetti, M., Montan, D., Pizo, M. A., Mariguela, T. C., Culot, L., Bufalo, F., Labecca, F., Pedrosa, F., Constantini, R., Emer, C., Silva, W. R., da Silva, F. R., Ovaskainen, O. and Jordano, P. (2017), Atlantic frugivory: a plantâ€“frugivore interaction data set for the Atlantic Forest. Ecology, 98: 1729. doi:10.1002/ecy.1818
Paullinia carpopoda;Accepted;Sapindaceae;Paullinia;carpopoda;Paullinia carpopoda;Brachyteles;Brachyteles hypoxanthus;NA;NA;;NA;NA;NA;NA;NA;Bello, C., Galetti, M., Montan, D., Pizo, M. A., Mariguela, T. C., Culot, L., Bufalo, F., Labecca, F., Pedrosa, F., Constantini, R., Emer, C., Silva, W. R., da Silva, F. R., Ovaskainen, O. and Jordano, P. (2017), Atlantic frugivory: a plantâ€“frugivore interaction data set for the Atlantic Forest. Ecology, 98: 1729. doi:10.1002/ecy.1818
Paullinia sphaerocarpa;Accepted;Sapindaceae;Paullinia;sphaerocarpa;Paullinia sphaerocarpa;Ateles;Ateles spp.;NA;NA;;NA;NA;NA;NA;NA;Russo, S. E., Campbell, C. J., Dew, J. L., Stevenson, P. R., & Suarez, S. A. (2005). A multi-forest comparison of dietary preferences and seed dispersal by Ateles spp.Â Intertiol jourl of Primatology,Â 26(5), 1017-1037.
Pereskia aculeata;Accepted;Cactaceae;Pereskia;aculeata;Pereskia aculeata;Brachyteles;Brachyteles arachnoides;NA;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Pereskia aculeata;Accepted;Cactaceae;Pereskia;aculeata;Pereskia aculeata;Brachyteles;Brachyteles arachnoides;NA;NA;;NA;NA;NA;NA;NA;Bello, C., Galetti, M., Montan, D., Pizo, M. A., Mariguela, T. C., Culot, L., Bufalo, F., Labecca, F., Pedrosa, F., Constantini, R., Emer, C., Silva, W. R., da Silva, F. R., Ovaskainen, O. and Jordano, P. (2017), Atlantic frugivory: a plantâ€“frugivore interaction data set for the Atlantic Forest. Ecology, 98: 1729. doi:10.1002/ecy.1818
Philodendron appendiculattum;Accepted;Araceae;Philodendron;appendiculatum;Philodendron appendiculatum;Brachyteles;Brachyteles arachnoides;NA;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Philodendron appendiculatum;Accepted;Araceae;Philodendron;appendiculatum;Philodendron appendiculatum;Brachyteles;Brachyteles arachnoides;NA;NA;;NA;NA;NA;NA;NA;Bello, C., Galetti, M., Montan, D., Pizo, M. A., Mariguela, T. C., Culot, L., Bufalo, F., Labecca, F., Pedrosa, F., Constantini, R., Emer, C., Silva, W. R., da Silva, F. R., Ovaskainen, O. and Jordano, P. (2017), Atlantic frugivory: a plantâ€“frugivore interaction data set for the Atlantic Forest. Ecology, 98: 1729. doi:10.1002/ecy.1818
Philodendron corcovadense;Accepted;Araceae;Philodendron;corcovadense;Philodendron corcovadense;Brachyteles;Brachyteles arachnoides;NA;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Philodendron corcovadense;Accepted;Araceae;Philodendron;corcovadense;Philodendron corcovadense;Brachyteles;Brachyteles arachnoides;NA;NA;;NA;NA;NA;NA;NA;Bello, C., Galetti, M., Montan, D., Pizo, M. A., Mariguela, T. C., Culot, L., Bufalo, F., Labecca, F., Pedrosa, F., Constantini, R., Emer, C., Silva, W. R., da Silva, F. R., Ovaskainen, O. and Jordano, P. (2017), Atlantic frugivory: a plantâ€“frugivore interaction data set for the Atlantic Forest. Ecology, 98: 1729. doi:10.1002/ecy.1818
Phylodendron imbe;Typo;Araceae;Philodendron;imbe;Philodendron imbe;Brachyteles;Brachyteles arachnoides;NA;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Phyllostemonodaphne geminiflora;Accepted;Lauraceae;Phyllostemonodaphne;geminiflora;Phyllostemonodaphne geminiflora;Brachyteles;Brachyteles hypoxanthus;NA;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Phyllostemonodaphne geminiflora;Accepted;Lauraceae;Phyllostemonodaphne;geminiflora;Phyllostemonodaphne geminiflora;Brachyteles;Brachyteles hypoxanthus;NA;NA;;NA;NA;NA;NA;NA;Bello, C., Galetti, M., Montan, D., Pizo, M. A., Mariguela, T. C., Culot, L., Bufalo, F., Labecca, F., Pedrosa, F., Constantini, R., Emer, C., Silva, W. R., da Silva, F. R., Ovaskainen, O. and Jordano, P. (2017), Atlantic frugivory: a plantâ€“frugivore interaction data set for the Atlantic Forest. Ecology, 98: 1729. doi:10.1002/ecy.1818
Piper glandulosissimum;Accepted;Piperaceae;Piper;glandulosissimum;Piper glandulosissimum;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Barcelos, A. R., Bobrowiec, P. E. D., Sanaiotti, T. M., & Gribel, R. (2013). Seed germination from lowland tapir (Tapirus terrestris) fecal samples collected during the dry season in the northern Brazilian Amazon. Integrative zoology, 8(1), 63-73.
Piper sp. ;Genus-level;Piperaceae;Piper;sp.;Piper sp.;Tapirus;Tapirus terrestris;3;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Posoqueria sp.;Genus-level;Rubiaceae;Posoqueria;sp.;Posoqueria sp.;Brachyteles;Brachyteles arachnoides;4;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Pourouma sp. ;Genus-level;Urticaceae;Pourouma;sp.;Pourouma sp.;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Pouteria putamen-ovi;Typo;Sapotaceae;Pouteria;putamen-ovi;Pouteria putamen-ovi;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Tobler, M. W., Janovec, J. P., & Cornejo, F. (2010). Frugivory and seed dispersal by the lowland tapir Tapirus terrestris in the Peruvian Amazon. Biotropica, 42(2), 215-222.
Pouteria sp.;Genus-level;Sapotaceae;Pouteria;sp.;Pouteria sp.;Brachyteles;Brachyteles arachnoides, B. hypoxanthus;12;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Pouteria sp. ;Genus-level;Sapotaceae;Pouteria;sp.;Pouteria sp.;Tapirus;Tapirus terrestris;22;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Pradosia kuhlmannii;Accepted;Sapotaceae;Pradosia;kuhlmannii;Pradosia kuhlmannii;Brachyteles;Brachyteles arachnoides;3,7;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Pradosia kuhlmannii;Accepted;Sapotaceae;Pradosia;kuhlmannii;Pradosia kuhlmannii;Brachyteles;Brachyteles arachnoides;NA;NA;;NA;NA;NA;NA;NA;Bello, C., Galetti, M., Montan, D., Pizo, M. A., Mariguela, T. C., Culot, L., Bufalo, F., Labecca, F., Pedrosa, F., Constantini, R., Emer, C., Silva, W. R., da Silva, F. R., Ovaskainen, O. and Jordano, P. (2017), Atlantic frugivory: a plantâ€“frugivore interaction data set for the Atlantic Forest. Ecology, 98: 1729. doi:10.1002/ecy.1818
Protium sp. ;Genus-level;Burseraceae;Protium;sp.;Protium sp.;Tapirus;Tapirus terrestris;2;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Protium widgrenii;Accepted;Burseraceae;Protium;widgrenii;Protium widgrenii;Brachyteles;Brachyteles arachnoides;2;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Protium widgrenii;Accepted;Burseraceae;Protium;widgrenii;Protium widgrenii;Brachyteles;Brachyteles arachnoides;NA;NA;;NA;NA;NA;NA;NA;Bello, C., Galetti, M., Montan, D., Pizo, M. A., Mariguela, T. C., Culot, L., Bufalo, F., Labecca, F., Pedrosa, F., Constantini, R., Emer, C., Silva, W. R., da Silva, F. R., Ovaskainen, O. and Jordano, P. (2017), Atlantic frugivory: a plantâ€“frugivore interaction data set for the Atlantic Forest. Ecology, 98: 1729. doi:10.1002/ecy.1818
Psidium guineense ;Accepted;Myrtaceae;Psidium;guineense;Psidium guineense;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Psidium sp. ;Genus-level;Myrtaceae;Psidium;sp.;Psidium sp.;Tapirus;Tapirus terrestris;2;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Psychotria sp.;Genus-level;Rubiaceae;Psychotria;sp.;Psychotria sp.;Brachyteles;Brachyteles arachnoides;8;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Psychotria sp.;Genus-level;Rubiaceae;Psychotria;sp.;Psychotria sp.;Tapirus;Tapirus terrestris;10;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Psychotria tenerior;Accepted;Rubiaceae;Psychotria;tenerior;Psychotria tenerior;Brachyteles;Brachyteles arachnoides;12;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Psychotria tenerior;Accepted;Rubiaceae;Psychotria;tenerior;Psychotria tenerior;Brachyteles;Brachyteles arachnoides;NA;NA;;NA;NA;NA;NA;NA;Bello, C., Galetti, M., Montan, D., Pizo, M. A., Mariguela, T. C., Culot, L., Bufalo, F., Labecca, F., Pedrosa, F., Constantini, R., Emer, C., Silva, W. R., da Silva, F. R., Ovaskainen, O. and Jordano, P. (2017), Atlantic frugivory: a plantâ€“frugivore interaction data set for the Atlantic Forest. Ecology, 98: 1729. doi:10.1002/ecy.1818
Psychotria trichotoma;Accepted;Rubiaceae;Psychotria;trichotoma;Psychotria trichotoma;Tapirus;Tapirus bairdii;NA;NA;;NA;NA;NA;NA;NA;O'FARRILL, G., Galetti, M., & CAMPOS?ARCEIZ, A. (2013). Frugivory and seed dispersal by tapirs: an insight on their ecological role. Integrative zoology, 8(1), 4-17.
Quararibea cordata;Typo/Synonym;Malvaceae;Quararibea;cordata;Quararibea cordata;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Tobler, M. W., Janovec, J. P., & Cornejo, F. (2010). Frugivory and seed dispersal by the lowland tapir Tapirus terrestris in the Peruvian Amazon. Biotropica, 42(2), 215-222.
Quercus copeyensis;Accepted;Fagaceae;Quercus;copeyensis;Quercus copeyensis;Tapirus;Tapirus bairdii;NA;NA;;NA;NA;NA;NA;NA;O'FARRILL, G., Galetti, M., & CAMPOS?ARCEIZ, A. (2013). Frugivory and seed dispersal by tapirs: an insight on their ecological role. Integrative zoology, 8(1), 4-17.
Quii glaziovii;Typo;Ochnaceae;Quiina;glaziovii;Quiina glaziovii;Brachyteles;Brachyteles arachnoides;4;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Quiina glazovii;Typo;Ochnaceae;Quiina;glaziovii;Quiina glaziovii;Brachyteles;Brachyteles arachnoides;NA;NA;;NA;NA;NA;NA;NA;Bello, C., Galetti, M., Montan, D., Pizo, M. A., Mariguela, T. C., Culot, L., Bufalo, F., Labecca, F., Pedrosa, F., Constantini, R., Emer, C., Silva, W. R., da Silva, F. R., Ovaskainen, O. and Jordano, P. (2017), Atlantic frugivory: a plantâ€“frugivore interaction data set for the Atlantic Forest. Ecology, 98: 1729. doi:10.1002/ecy.1818
Randia echinocarpa;Accepted;Rubiaceae;Randia;echinocarpa;Randia echinocarpa;Tapirus;Tapirus bairdii;NA;NA;;NA;NA;NA;NA;NA;O'FARRILL, G., Galetti, M., & CAMPOS?ARCEIZ, A. (2013). Frugivory and seed dispersal by tapirs: an insight on their ecological role. Integrative zoology, 8(1), 4-17.
Raphia taedigera;Accepted;Arecaceae;Raphia;taedigera;Raphia taedigera;Tapirus;Tapirus bairdii;NA;NA;;NA;NA;NA;NA;NA;O'FARRILL, G., Galetti, M., & CAMPOS?ARCEIZ, A. (2013). Frugivory and seed dispersal by tapirs: an insight on their ecological role. Integrative zoology, 8(1), 4-17.
Rhipsalis sp.;Genus-level;Cactaceae;Rhipsalis;sp.;Rhipsalis sp.;Brachyteles;Brachyteles arachnoides;8;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Rhipsalis sp. 1 ;Genus-level;Cactaceae;Rhipsalis;sp.;Rhipsalis sp.;Brachyteles;Brachyteles arachnoides;3;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Rhynchospora pubera;Accepted;Cyperaceae;Rhynchospora;pubera;Rhynchospora pubera;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Barcelos, A. R., Bobrowiec, P. E. D., Sanaiotti, T. M., & Gribel, R. (2013). Seed germination from lowland tapir (Tapirus terrestris) fecal samples collected during the dry season in the northern Brazilian Amazon. Integrative zoology, 8(1), 63-73.
Rinoreocarpus ulei;Accepted;Violaceae;Rinoreocarpus;ulei;Rinoreocarpus ulei;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Tobler, M. W., Janovec, J. P., & Cornejo, F. (2010). Frugivory and seed dispersal by the lowland tapir Tapirus terrestris in the Peruvian Amazon. Biotropica, 42(2), 215-222.
Rollinia laurifolia;Accepted;Annonaceae;Rollinia;laurifolia;Rollinia laurifolia;Brachyteles;Brachyteles hypoxanthus;12;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Rollinia sp.;Genus-level;Annonaceae;Rollinia;sp.;Rollinia sp.;Brachyteles;Brachyteles arachnoides;2;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Rollinia sp. ;Genus-level;Annonaceae;Rollinia;sp.;Rollinia sp.;Tapirus;Tapirus terrestris;3;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Sabal Mexica;Accepted;Arecaceae;Sabal;mexicana;Sabal mexicana;Ateles;Ateles geoffroyi;NA;NA;;NA;NA;NA;NA;NA;GonzÃ¡lez?Zamora, A., Arroyo?RodrÃ­guez, V., Chaves, Ã“. M., SÃ¡nchez?LÃ³pez, S., Stoner, K. E., & Riba?HernÃ¡ndez, P. (2009). Diet of spider monkeys (Ateles geoffroyi) in Mesoamerica: current knowledge and future directions.Â American Jourl of Primatology
Schefflera calva;Accepted;Araliaceae;Schefflera;calva;Schefflera calva;Brachyteles;Brachyteles arachnoides;2;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Schefflera calva;Accepted;Araliaceae;Schefflera;calva;Schefflera calva;Brachyteles;Brachyteles arachnoides;NA;NA;;NA;NA;NA;NA;NA;Bello, C., Galetti, M., Montan, D., Pizo, M. A., Mariguela, T. C., Culot, L., Bufalo, F., Labecca, F., Pedrosa, F., Constantini, R., Emer, C., Silva, W. R., da Silva, F. R., Ovaskainen, O. and Jordano, P. (2017), Atlantic frugivory: a plantâ€“frugivore interaction data set for the Atlantic Forest. Ecology, 98: 1729. doi:10.1002/ecy.1818
Schoepfia lucida;Accepted;Schoepfiaceae;Schoepfia;lucida;Schoepfia lucida;Brachyteles;Brachyteles hypoxanthus;10;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Schoepfia lucida;Accepted;Schoepfiaceae;Schoepfia;lucida;Schoepfia lucida;Brachyteles;Brachyteles hypoxanthus;NA;NA;;NA;NA;NA;NA;NA;Bello, C., Galetti, M., Montan, D., Pizo, M. A., Mariguela, T. C., Culot, L., Bufalo, F., Labecca, F., Pedrosa, F., Constantini, R., Emer, C., Silva, W. R., da Silva, F. R., Ovaskainen, O. and Jordano, P. (2017), Atlantic frugivory: a plantâ€“frugivore interaction data set for the Atlantic Forest. Ecology, 98: 1729. doi:10.1002/ecy.1818
Schwartzia brasiliensis ex;Accepted;Marcgraviaceae;Schwartzia;brasiliensis;Schwartzia brasiliensis;Brachyteles;Brachyteles arachnoides;NA;NA;;NA;NA;NA;NA;NA;Bello, C., Galetti, M., Montan, D., Pizo, M. A., Mariguela, T. C., Culot, L., Bufalo, F., Labecca, F., Pedrosa, F., Constantini, R., Emer, C., Silva, W. R., da Silva, F. R., Ovaskainen, O. and Jordano, P. (2017), Atlantic frugivory: a plantâ€“frugivore interaction data set for the Atlantic Forest. Ecology, 98: 1729. doi:10.1002/ecy.1818
Scleria gaertneri;Synonym;Cyperaceae;Scleria;gaertneri;Scleria gaertneri;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Barcelos, A. R., Bobrowiec, P. E. D., Sanaiotti, T. M., & Gribel, R. (2013). Seed germination from lowland tapir (Tapirus terrestris) fecal samples collected during the dry season in the northern Brazilian Amazon. Integrative zoology, 8(1), 63-73.
Scleria macrophylla;Accepted;Cyperaceae;Scleria;macrophylla;Scleria macrophylla;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Tobler, M. W., Janovec, J. P., & Cornejo, F. (2010). Frugivory and seed dispersal by the lowland tapir Tapirus terrestris in the Peruvian Amazon. Biotropica, 42(2), 215-222.
Senegalia grandistipula;Accepted;Leguminosae;Senegalia;grandistipula;Senegalia grandistipula;Brachyteles;Brachyteles arachnoides;NA;NA;;NA;NA;NA;NA;NA;Bello, C., Galetti, M., Montan, D., Pizo, M. A., Mariguela, T. C., Culot, L., Bufalo, F., Labecca, F., Pedrosa, F., Constantini, R., Emer, C., Silva, W. R., da Silva, F. R., Ovaskainen, O. and Jordano, P. (2017), Atlantic frugivory: a plantâ€“frugivore interaction data set for the Atlantic Forest. Ecology, 98: 1729. doi:10.1002/ecy.1818
Siparuna cristata;Accepted;Siparunaceae;Siparuna;cristata;Siparuna cristata;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Hibert, F., Sabatier, D., Andrivot, J., Scotti-Saintagne, C., Gonzalez, S., Prévost, M. F., ... & Richard-Hansen, C. (2011). Botany, genetics and ethnobotany: a crossed investigation on the elusive tapir's diet in French Guiana. PLoS One, 6(10).
Siparu guianense;Typo;Siparunaceae;Siparuna;guianensis;Siparuna guianensis;Brachyteles;Brachyteles arachnoides;NA;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Smilax fluminensis;Accepted;Smilacaceae;Smilax;fluminensis;Smilax fluminensis;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Zorzi, B. T. (2009). Frugivoria por Tapirus terrestris em três regiões do Pantanal, Brasil.
Smilax fluminensis;Accepted;Smilacaceae;Smilax;fluminensis;Smilax fluminensis;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Zorzi, B. T. (2009). Frugivoria por Tapirus terrestris em três regiões do Pantanal, Brasil.
Solanum aloysiifolium;Synonym;Solanaceae;Solanum;aloysiifolium;Solanum aloysiifolium;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Chalukian, S. C., de BUSTOS, M. S., & LIZÁRRAGA, R. L. (2013). Diet of lowland tapir (Tapirus terrestris) in El Rey National Park, Salta, Argentina. Integrative Zoology, 8(1), 48-56.
Solanum excelsum;Synonym;Solanaceae;Solanum;cinnamomeum;Solanum cinnamomeum;Brachyteles;Brachyteles arachnoides;8;NA;;NA;NA;NA;NA;NA;Bueno, R. S., Guevara, R., Ribeiro, M. C., Culot, L., Bufalo, F. S., & Galetti, M. (2013). Functiol redundancy and complementarities of seed dispersal by the last neotropical megafrugivores.Â PloS one,Â 8(2).
Solanum cinnamomeum;Accepted;Solanaceae;Solanum;cinnamomeum;Solanum cinnamomeum;Brachyteles;Brachyteles arachnoides;NA;NA;;NA;NA;NA;NA;NA;Bello, C., Galetti, M., Montan, D., Pizo, M. A., Mariguela, T. C., Culot, L., Bufalo, F., Labecca, F., Pedrosa, F., Constantini, R., Emer, C., Silva, W. R., da Silva, F. R., Ovaskainen, O. and Jordano, P. (2017), Atlantic frugivory: a plantâ€“frugivore interaction data set for the Atlantic Forest. Ecology, 98: 1729. doi:10.1002/ecy.1818
Solanum palinacanthum;Synonym;Solanaceae;Solanum;palinacanthum;Solanum palinacanthum;Tapirus;Tapirus terrestris;NA;NA;;NA;NA;NA;NA;NA;Chalukian, S. C., de BUSTOS, M. S., & LIZÁRRAGA, R. L. (2013). Diet of lowland tapir (Tapirus terrestris) in El Rey National Park, Salta, Argentina. Integrative Zoology, 8(1), 48-56.
