Families
Linderniaceae Borsch, Kai Müll. & Eb. Fisch. 
Lindsaeaceae C. Presl ex M.R. Schomb. 
Loasaceae Juss. 
Loganiaceae R. Br. ex Mart. 
Lomariopsidaceae Alston 
Lonchitidaceae Doweld 
Loranthaceae Juss. 
Loxsomataceae C. Presl 
Lycopodiaceae P. Beauv. ex Mirb. 
Lygodiaceae M. Roem. 
Lythraceae J. St.-Hil. 
Magnoliaceae Juss. 
Malpighiaceae Juss. 
Malvaceae Juss. 
Marantaceae R. Br. 
Marattiaceae Kaulf. 
Marcgraviaceae Bercht. & J. Presl 
Marsileaceae Mirb. 
Martyniaceae Horan. 
Mayacaceae Kunth 
Melanthiaceae Batsch 
Melastomataceae Juss. 
Meliaceae Juss. 
Menispermaceae Juss. 
Menyanthaceae Dumort. 
Metaxyaceae Pic. Serm. 
Metteniusaceae H. Karst. ex Schnizl. 
Microteaceae Schäferh. & Borsch 
Misodendraceae J. Agardh 
Mitrastemonaceae Makino 
Molluginaceae Bartl. 
Monimiaceae Juss. 
Montiaceae Raf. 
Moraceae Gaudich. 
Muntingiaceae C. Bayer, M.W. Chase & M.F. Fay 
Myricaceae Rich. ex Kunth 
Myristicaceae R. Br. 
Myrtaceae Juss. 
Namaceae Molinari 
Nartheciaceae Fr. ex Bjurzon 
Nelumbonaceae A. Rich. 
Nephrolepidaceae Pic. Serm. 
Nitrariaceae Lindl. 
Nothofagaceae Kuprian. 
Nyctaginaceae Juss. 
Nymphaeaceae Salisb. 
Nyssaceae Juss. ex Dumort. 
Ochnaceae DC. 
Olacaceae R. Br. 
Oleaceae Hoffmanns. & Link 
Oleandraceae Ching ex Pic. Serm. 
Onagraceae Juss. 
Onocleaceae Pic. Serm. 
Ophioglossaceae Martinov 
Opiliaceae Valeton 
Orchidaceae Juss. 
Orobanchaceae Vent. 
Osmundaceae Martinov 
Oxalidaceae R. Br. 
Paeoniaceae Raf. 
Papaveraceae Juss. 
Passifloraceae Juss. ex Roussel 
Pentaphylacaceae Engl. 
Penthoraceae Rydb. ex Britton 
Peraceae Klotzsch 
Peridiscaceae Kuhlm. 
Petenaeaceae Christenh., M.F. Fay & M.W. Chase 
Petiveriaceae C. Agardh 
Philesiaceae Dumort. 
Phrymaceae Schauer 
Phyllanthaceae Martinov 
Phyllonomaceae Small 
Phytolaccaceae R. Br. 
Picramniaceae Fernando & Quinn 
Picrodendraceae Small 
Pinaceae Spreng. ex Rudolphi 
Piperaceae Giseke 
Plagiogyriaceae Bower 
Plantaginaceae Juss. 
Platanaceae T. Lestib. 
Plocospermataceae Hutch. 
Plumbaginaceae Juss. 
Poaceae Barnhart 
Podocarpaceae Endl. 
Podostemaceae Rich. ex Kunth 
Polemoniaceae Juss. 
Polygalaceae Hoffmanns. & Link 
Polygonaceae Juss. 
Polypodiaceae J. Presl & C. Presl 
Pontederiaceae Kunth 
Portulacaceae Juss. 
Potamogetonaceae Bercht. & J. Presl 
Primulaceae Batsch 
Proteaceae Juss. 
Psilotaceae J.W. Griff. & Henfr. 
Pteridaceae E.D.M. Kirchn. 
Putranjivaceae Endl. 
Quillajaceae D. Don 
Ranunculaceae Juss. 
Rapateaceae Dumort. 
Resedaceae Martinov 
Restionaceae R. Br. 
Rhabdodendraceae Prance 
Rhamnaceae Juss. 
Rhizophoraceae Pers. 
Rosaceae Juss. 
Rubiaceae Juss. 
Ruppiaceae Horan. 
Rutaceae Juss. 
Sabiaceae Blume 
Saccolomataceae Doweld 
Salicaceae Mirb. 
Salviniaceae Martinov 
Santalaceae R. Br. 
Sapindaceae Juss. 
Sapotaceae Juss. 
Sarcobataceae Behnke 
Sarraceniaceae Dumort. 
Saururaceae Rich. ex T. Lestib. 
Saxifragaceae Juss. 
Scheuchzeriaceae F. Rudolphi 
Schisandraceae Blume 
Schizaeaceae Kaulf. 
Schlegeliaceae Reveal 
Schoepfiaceae Blume 
Scrophulariaceae Juss. 
Selaginellaceae Willk. 
Setchellanthaceae Iltis 
Simaroubaceae DC. 
Simmondsiaceae Tiegh. 
Siparunaceae Schodde 
Smilacaceae Vent. 
Solanaceae Juss. 
Staphyleaceae Martinov 
Stegnospermataceae Nakai 
Stemonaceae Caruel 
Stemonuraceae Kårehed 
Strelitziaceae Hutch. 
Stylidiaceae R. Br. 
Styracaceae DC. & Spreng. 
Surianaceae Arn. 
Symplocaceae Desf. 
Talinaceae Doweld 
Tapisciaceae Takht. 
Taxaceae Gray 
Tecophilaeaceae Leyb. 
Tectariaceae Panigrahi 
Tetrachondraceae Skottsb. ex Wettst. 
Tetrameristaceae Hutch. 
Theaceae Mirb. 
Thelypteridaceae Ching ex Pic. Serm. 
Thurniaceae Engl. 
Thymelaeaceae Juss. 
Thyrsopteridaceae C. Presl 
Ticodendraceae Gómez-Laur. & L.D. Gómez 
Tofieldiaceae Takht. 
Tovariaceae Pax 
Trigoniaceae A. Juss. 
Triuridaceae Gardner 
Tropaeolaceae Juss. ex DC. 
Typhaceae Juss. 
Ulmaceae Mirb. 
Urticaceae Juss. 
Velloziaceae J. Agardh 
Verbenaceae J. St.-Hil. 
Viburnaceae Raf. 
Violaceae Batsch 
Vitaceae Juss. 
Vochysiaceae A. St.-Hil. 
Winteraceae R. Br. ex Lindl. 
Woodsiaceae Herter 
Ximeniaceae Horan. 
Xyridaceae C. Agardh 
Zamiaceae Horan. 
Zingiberaceae Martinov 
Zosteraceae Dumort. 
Zygophyllaceae R. Br. 
